Order_ID,Order_Date,Customer_Name,Customer_Segment,Country,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Total_Sales,Shipping_Cost,Profit,Payment_Method,Year,Month,Month_Name,Quarter,Revenue_Per_Order,Profit_Margin,Shipping_Cost_Ratio,Discount_Value,Gross_Sales,Net_Sales_After_Shipping,Order_Size,Profit_Status,Discount_Level
ORD-11121,2023-01-02,Karen Suzuki,Corporate,United States,North America,Technology,Wireless Bluetooth Headphones,3,99.43,0,298.29,9.31,124.92,Cash on Delivery,2023,1,January,1,298.29,0.4187870863924369,0.031211237386436018,0.0,298.29,288.98,Medium,Profitable,No Discount
ORD-11244,2023-01-02,John Johansson,Corporate,Spain,Europe,Technology,Mechanical Gaming Keyboard,4,97.93,20,313.38,14.31,83.62,Cash on Delivery,2023,1,January,1,313.38,0.26683259940008935,0.0456634118322803,78.34400000000001,391.72,299.07,Medium,Profitable,Medium
ORD-10325,2023-01-03,Jessica Garcia,Consumer,Mexico,North America,Office Supplies,Binder Clips Assorted 48pc,2,10.74,0,21.48,8.12,3.69,Credit Card,2023,1,January,1,21.48,0.1717877094972067,0.37802607076350087,0.0,21.48,13.360000000000001,Low,Profitable,No Discount
ORD-10467,2023-01-03,Clara Taylor,Corporate,Italy,Europe,Technology,Webcam HD 1080p,2,61.86,15,105.16,10.79,26.32,PayPal,2023,1,January,1,105.16,0.2502852795739825,0.10260555344237351,18.558,123.72,94.37,Low,Profitable,Medium
ORD-11454,2023-01-05,Felix Thomas,Consumer,Italy,Europe,Furniture,Standing Desk Converter,4,330.67,20,1058.14,11.09,253.44,Credit Card,2023,1,January,1,1058.14,0.2395146199935736,0.010480654733778138,264.536,1322.68,1047.0500000000002,Medium,Profitable,Medium
ORD-11746,2023-01-05,Fatima Suzuki,Consumer,Mexico,North America,Furniture,Bookshelf 5-Tier,1,61.93,10,55.74,5.88,12.7,PayPal,2023,1,January,1,55.74,0.22784355938284892,0.10548977395048438,6.1930000000000005,61.93,49.86,Low,Profitable,Low
ORD-11162,2023-01-06,Felix Rodriguez,Home Office,United States,North America,Office Supplies,Premium Notebook Set A5,2,15.03,5,28.56,6.59,8.44,PayPal,2023,1,January,1,28.56,0.29551820728291317,0.23074229691876752,1.5030000000000001,30.06,21.97,Low,Profitable,Low
ORD-11271,2023-01-06,Ayumi Ferrari,Home Office,Nigeria,Middle East & Africa,Technology,Laptop Stand Adjustable,2,33.91,10,61.04,14.38,9.36,Bank Transfer,2023,1,January,1,61.04,0.15334207077326342,0.23558322411533422,6.782,67.82,46.66,Low,Profitable,Low
ORD-11702,2023-01-06,Thomas Smith,Consumer,China,Asia Pacific,Furniture,Standing Desk Converter,2,334.11,5,634.81,11.92,221.96,Bank Transfer,2023,1,January,1,634.81,0.3496479261511319,0.018777271939635482,33.411,668.22,622.89,Low,Profitable,Low
ORD-10847,2023-01-07,Ali Rodriguez,Consumer,Saudi Arabia,Middle East & Africa,Furniture,Folding Table Portable,1,58.77,5,55.83,12.03,8.54,Credit Card,2023,1,January,1,55.83,0.15296435608096004,0.21547555077915098,2.9385000000000003,58.77,43.8,Low,Profitable,Low
ORD-10446,2023-01-08,Raj Martinez,Corporate,Colombia,South America,Clothing & Accessories,Leather Wallet Minimalist,2,38.91,15,66.15,14.25,12.99,Credit Card,2023,1,January,1,66.15,0.1963718820861678,0.21541950113378683,11.672999999999998,77.82,51.900000000000006,Low,Profitable,Medium
ORD-11499,2023-01-08,Kenji Rossi,Corporate,Spain,Europe,Office Supplies,Paper Clips Box 500pc,3,7.8,10,21.06,12.61,-2.08,Cash on Delivery,2023,1,January,1,21.06,-0.09876543209876544,0.5987654320987654,2.34,23.4,8.45,Medium,Loss-Making,Low
ORD-10271,2023-01-09,Mary Khan,Corporate,United Kingdom,Europe,Technology,Webcam HD 1080p,1,48.73,10,43.86,8.11,8.95,Credit Card,2023,1,January,1,43.86,0.20405836753305973,0.184906520747834,4.873,48.73,35.75,Low,Profitable,Low
ORD-11356,2023-01-12,Maria Tanaka,Consumer,Colombia,South America,Clothing & Accessories,Travel Backpack 30L,1,59.48,0,59.48,11.42,18.32,Credit Card,2023,1,January,1,59.48,0.30800268997982516,0.19199731002017487,0.0,59.48,48.059999999999995,Low,Profitable,No Discount
ORD-10793,2023-01-13,Zara Brown,Corporate,Italy,Europe,Office Supplies,Tape Dispenser Heavy Duty,1,15.82,0,15.82,9.16,-0.46,PayPal,2023,1,January,1,15.82,-0.029077117572692796,0.5790139064475348,0.0,15.82,6.66,Low,Loss-Making,No Discount
ORD-11330,2023-01-13,Marco Moreau,Corporate,Japan,Asia Pacific,Clothing & Accessories,Business Casual Blazer,3,51.92,30,109.03,13.39,17.76,PayPal,2023,1,January,1,109.03,0.16289094744565716,0.12281023571494085,46.727999999999994,155.76,95.64,Medium,Profitable,High
ORD-11886,2023-01-13,Christopher Johansson,Consumer,Nigeria,Middle East & Africa,Furniture,Corner L-Shaped Desk,3,358.6,15,914.43,14.74,254.21,Cash on Delivery,2023,1,January,1,914.43,0.2779983158907735,0.016119331168050043,161.37000000000003,1075.8000000000002,899.6899999999999,Medium,Profitable,Medium
ORD-10339,2023-01-14,Susan Davis,Home Office,Australia,Asia Pacific,Furniture,Ergonomic Office Chair,2,446.8,5,848.92,13.59,299.17,Cash on Delivery,2023,1,January,1,848.92,0.3524124770296377,0.01600857560194129,44.68000000000001,893.6,835.3299999999999,Low,Profitable,Low
ORD-10402,2023-01-14,Jamal Schmidt,Consumer,Mexico,North America,Furniture,Folding Table Portable,6,96.58,0,579.48,10.22,221.57,Credit Card,2023,1,January,1,579.48,0.3823600469386346,0.017636501691171397,0.0,579.48,569.26,High,Profitable,No Discount
ORD-10560,2023-01-14,Sarah Davis,Home Office,Italy,Europe,Clothing & Accessories,Wool Blend Scarf,1,27.9,5,26.5,8.93,3.62,PayPal,2023,1,January,1,26.5,0.13660377358490566,0.3369811320754717,1.395,27.9,17.57,Low,Profitable,Low
ORD-10686,2023-01-15,Clara Smith,Corporate,Colombia,South America,Office Supplies,Whiteboard Markers Set 8,5,9.91,25,37.16,20.73,-5.87,Cash on Delivery,2023,1,January,1,37.16,-0.1579655543595264,0.5578579117330463,12.3875,49.55,16.429999999999996,Medium,Loss-Making,High
ORD-11718,2023-01-15,Robert Khan,Consumer,Colombia,South America,Clothing & Accessories,Wool Blend Scarf,2,47.0,10,84.6,14.83,22.77,Credit Card,2023,1,January,1,84.6,0.2691489361702128,0.17529550827423168,9.4,94.0,69.77,Low,Profitable,Low
ORD-10736,2023-01-17,Jennifer Russo,Home Office,United States,North America,Technology,Smart LED Desk Lamp,2,32.91,0,65.82,7.55,22.07,PayPal,2023,1,January,1,65.82,0.335308416894561,0.11470677605591006,0.0,65.82,58.269999999999996,Low,Profitable,No Discount
ORD-10846,2023-01-17,Yuki Costa,Corporate,UAE,Middle East & Africa,Office Supplies,Sticky Notes Multicolor 6-Pack,2,11.41,5,21.68,15.26,-3.85,Bank Transfer,2023,1,January,1,21.68,-0.1775830258302583,0.7038745387453874,1.141,22.82,6.42,Low,Loss-Making,Low
